Nama repository,Nama lengkap,Pemilik,Jumlah bintang,Jumlah fork,Jumlah isu terbuka,Bahasa pemrograman,Tanggal dibuat,Tanggal diperbarui,Tautan url,Deskripsi
ML-From-Scratch,eriklindernoren/ML-From-Scratch,eriklindernoren,30052,5093,68,Python,2017-02-05T12:11:23Z,2025-12-28T17:42:09Z,https://github.com/eriklindernoren/ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.
handson-ml2,ageron/handson-ml2,ageron,29727,13238,229,Jupyter Notebook,2019-01-08T03:49:07Z,2025-12-28T16:22:23Z,https://github.com/ageron/handson-ml2,"A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2."
machine-learning-for-software-engineers,ZuzooVn/machine-learning-for-software-engineers,ZuzooVn,28680,6216,29,,2016-10-09T21:20:25Z,2025-12-28T18:31:57Z,https://github.com/ZuzooVn/machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer.
linkedin-skill-assessments-quizzes,Ebazhanov/linkedin-skill-assessments-quizzes,Ebazhanov,28655,13113,20,Python,2019-07-13T19:52:56Z,2025-12-28T12:10:05Z,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,"Full reference of LinkedIn answers 2024 for skill assessments (aws-lambda, rest-api, javascript, react, git, html, jquery, mongodb, java, Go, python, machine-learning, power-point) linkedin excel test lösungen, linkedin machine learning test LinkedIn test questions and answers "
applied-ml,eugeneyan/applied-ml,eugeneyan,28577,3830,2,,2020-07-04T18:57:47Z,2025-12-28T15:03:11Z,https://github.com/eugeneyan/applied-ml,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.
shap,shap/shap,shap,24867,3463,593,Jupyter Notebook,2016-11-22T19:17:08Z,2025-12-28T17:19:03Z,https://github.com/shap/shap,A game theoretic approach to explain the output of any machine learning model.
homemade-machine-learning,trekhleb/homemade-machine-learning,trekhleb,23821,4121,27,Jupyter Notebook,2018-11-01T04:34:19Z,2025-12-28T10:38:37Z,https://github.com/trekhleb/homemade-machine-learning,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained
Paddle,PaddlePaddle/Paddle,PaddlePaddle,23537,5913,1562,C++,2016-08-15T06:59:08Z,2025-12-28T17:57:17Z,https://github.com/PaddlePaddle/Paddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
best-of-ml-python,lukasmasuch/best-of-ml-python,lukasmasuch,22979,3056,33,,2020-11-29T19:41:36Z,2025-12-28T12:41:08Z,https://github.com/lukasmasuch/best-of-ml-python,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.
C,TheAlgorithms/C,TheAlgorithms,21500,4706,33,C,2016-07-16T10:17:03Z,2025-12-28T17:53:02Z,https://github.com/TheAlgorithms/C,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes."
rasa,RasaHQ/rasa,RasaHQ,20949,4906,142,Python,2016-10-14T12:27:49Z,2025-12-28T11:18:10Z,https://github.com/RasaHQ/rasa,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants"
onnx,onnx/onnx,onnx,20070,3858,281,Python,2017-09-07T04:53:45Z,2025-12-28T17:42:42Z,https://github.com/onnx/onnx,Open standard for machine learning interoperability
awesome-production-machine-learning,EthicalML/awesome-production-machine-learning,EthicalML,19848,2489,4,,2018-08-15T14:28:41Z,2025-12-28T18:57:50Z,https://github.com/EthicalML/awesome-production-machine-learning,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning"
stanford-cs-229-machine-learning,afshinea/stanford-cs-229-machine-learning,afshinea,19142,4154,20,,2018-08-04T23:01:00Z,2025-12-28T13:37:43Z,https://github.com/afshinea/stanford-cs-229-machine-learning,VIP cheatsheets for Stanford's CS 229 Machine Learning
ml-agents,Unity-Technologies/ml-agents,Unity-Technologies,18981,4405,54,C#,2017-09-08T21:09:04Z,2025-12-28T14:32:12Z,https://github.com/Unity-Technologies/ml-agents,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.
LightGBM,microsoft/LightGBM,microsoft,17968,3967,471,C++,2016-08-05T05:45:50Z,2025-12-28T17:45:19Z,https://github.com/microsoft/LightGBM,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks."
brpc,apache/brpc,apache,17429,4085,440,C++,2017-09-04T09:28:47Z,2025-12-28T13:27:15Z,https://github.com/apache/brpc,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC""."
Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,ujjwalkarn,17395,3979,43,,2015-09-12T14:51:38Z,2025-12-28T16:37:06Z,https://github.com/ujjwalkarn/Machine-Learning-Tutorials,"machine learning and deep learning tutorials, articles and other resources "
ML-NLP,NLP-LOVE/ML-NLP,NLP-LOVE,17386,4648,37,Jupyter Notebook,2019-07-05T12:49:53Z,2025-12-28T11:14:14Z,https://github.com/NLP-LOVE/ML-NLP,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。
ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,dair-ai,17072,2089,18,,2021-06-25T09:39:16Z,2025-12-27T22:13:22Z,https://github.com/dair-ai/ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.
